#Ciudad|posx|posy|tipo|textoxincremento|textoyincremento
# tipo 1 = capital deptal, 2 = ciudad, 5 = cerro, 6 = punto de interes
Treinta y Tres|326|517|1|0|14
Santa Clara|107|373|2|0|12
Rincón|551|332|2|0|-12
Vergara|502|383|2|0|-12
Isla Patrulla|256|400|2|30|-12
El Oro|387|420|2|0|12
Cerro Chato|41|455|2|40|-12
La charqueada|552|502|2|-20|-12
