# Depto|codigo color (rojo)|ubic. texto x|y|rotacion nombre
# departamentos
Artigas|254|279|12|0
Rivera|253|545|226|0
Cerro Largo|252|664|713|0
Durazno|251|377|806|0
Río Negro|250|25|697|90
Paysandú|249|64|486|90
Salto|248|109|90|0
Tacuarembó|247|414|531|0
Treinta y Tres|246|705|865|0
Brasil|245|664|70|0
