#Ciudad|posx|posy|tipo|textoxincremento|textoyincremento
# tipo 1 = capital deptal, 2 = ciudad, 5 = cerro, 6 = punto de interes
Rocha|303|709|1|0|-14
Cebollatí|543|96|2|0|-12
San Luis al Medio|572|264|2|-20|-12
Lascano|361|308|2|0|-12
18 de Julio|638|312|2|-40|-12
La Coronilla|650|412|2|0|-12
Velázquez|336|480|2|0|-12
Castillos|506|568|2|0|-12
