#Ciudad|posx|posy|tipo|textoxincremento|textoyincremento
# tipo 1 = capital deptal, 2 = ciudad, 5 = cerro, 6 = punto de interes
Treinta y Tres|326|517|1|0|14
Santa Clara de Olimar|107|373|2|10|14
Rincón|551|332|2|0|-14
Vergara|502|383|2|0|-14
Isla Patrulla|256|400|2|30|-14
El Oro|387|420|2|0|14
Cerro Chato|41|455|2|53|0
La Charqueada|552|502|2|-30|-14
Tupambaé|180|337|2|10|14
Valentines|54|518|2|48|0
# cerros
Co. Valentín|57|530|5|40|14
Co. Chato|58|446|5|45|-1
Co. del Olimar|229|481|5|20|-14
